순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
15,이민석,롯데,14.54,3,0,0,0,0,-,4 1/3,6,1,5,0,4,7,7,2.54,0,0,0,0,24,99,0.316,2,0,0,0,0,3,0
16,신동건,롯데,18.00,1,0,0,0,0,-,1,1,0,4,0,1,2,2,5.00,0,0,0,0,8,33,0.333,0,0,0,1,0,0,0
16,최충연,롯데,18.00,1,0,0,0,0,-,1,3,0,1,0,0,2,2,4.00,0,0,0,0,7,28,0.500,2,0,0,0,0,0,0
18,윤성빈,롯데,19.29,3,0,0,0,0,-,2 1/3,4,0,4,0,1,5,5,3.43,0,0,0,0,15,58,0.364,3,0,0,0,0,1,0
1,원태인,삼성,0.00,1,0,0,0,0,-,3 2/3,4,0,1,1,3,0,0,1.36,0,0,0,0,16,69,0.286,1,0,0,0,0,0,0
2,이승민,삼성,1.13,8,0,0,0,2,-,8,1,0,7,0,6,1,1,1.00,0,0,0,0,32,137,0.042,1,0,1,0,0,0,0
3,이승현,삼성,1.29,8,3,0,0,1,1.000,7,6,1,2,0,6,1,1,1.14,0,0,0,0,47,171,0.371,2,0,1,0,0,0,0
4,김재윤,삼성,1.50,6,0,0,4,0,-,6,4,1,2,0,5,1,1,1.00,0,0,0,0,23,75,0.190,1,0,0,0,0,0,0
4,최지광,삼성,1.50,7,1,0,1,1,1.000,6,6,0,3,1,5,3,1,1.50,0,0,0,1,29,97,0.240,0,0,0,0,0,0,0
6,후라도,삼성,2.16,4,2,1,0,0,0.667,25,24,3,2,1,15,7,6,1.04,0,0,4,0,102,382,0.250,3,1,1,2,0,1,0
7,임기영,삼성,2.57,6,0,0,0,0,-,7,7,2,1,1,4,2,2,1.14,0,0,0,0,30,112,0.250,1,0,0,0,0,0,0
8,배찬승,삼성,2.70,9,1,0,0,2,1.000,6 2/3,7,2,4,0,2,2,2,1.65,0,0,0,0,30,113,0.269,1,0,0,0,0,1,0
8,백정현,삼성,2.70,6,1,0,0,1,1.000,6 2/3,2,1,3,0,2,2,2,0.75,0,0,0,0,25,93,0.091,0,0,0,0,0,0,0
10,장찬희,삼성,3.38,5,2,0,0,0,1.000,10 2/3,12,2,3,0,9,5,4,1.41,0,0,0,0,49,165,0.273,2,0,1,1,1,0,0
11,미야지,삼성,3.68,8,0,0,0,2,-,7 1/3,4,1,4,1,7,3,3,1.09,0,0,0,0,30,114,0.160,1,0,0,0,0,0,0
12,양창섭,삼성,6.17,3,1,0,0,0,1.000,11 2/3,15,0,6,1,11,8,8,1.80,0,0,0,0,56,212,0.306,2,0,0,0,0,0,0
13,최원태,삼성,6.32,3,0,1,0,0,0.000,15 2/3,22,2,8,1,15,11,11,1.91,0,0,1,0,72,280,0.355,4,0,0,1,0,0,0
14,오러클린,삼성,7.11,3,0,1,0,0,0.000,12 2/3,14,0,7,4,11,10,10,1.66,0,0,1,0,60,249,0.298,4,0,1,1,0,0,0
15,육선엽,삼성,11.57,2,0,0,0,0,-,2 1/3,2,1,3,1,3,3,3,2.14,0,0,0,0,13,53,0.286,1,0,1,1,0,2,0
16,이승현,삼성,15.26,2,0,1,0,0,0.000,7 2/3,13,2,10,1,5,13,13,3.00,0,0,0,0,47,171,0.371,2,0,1,0,0,0,0
1,안우진,키움,0.00,1,0,0,0,0,-,1,1,0,1,0,1,0,0,2.00,0,0,0,0,5,24,0.250,0,0,0,0,0,0,0
1,원종현,키움,0.00,2,0,0,0,0,-,2,2,0,0,0,0,0,0,1.00,0,0,0,0,8,24,0.250,0,0,0,0,0,0,0
1,이준우,키움,0.00,3,0,0,0,0,-,3,0,0,2,0,2,0,0,0.67,0,0,0,0,10,44,0.000,0,0,0,0,0,0,0
4,배동현,키움,1.65,4,3,0,0,0,1.000,16 1/3,15,1,2,1,13,3,3,1.04,0,0,0,1,66,253,0.246,4,1,0,2,0,0,0
5,와일스,키움,3.00,3,0,2,0,0,0.000,18,20,1,2,1,15,7,6,1.22,0,0,2,0,79,289,0.270,3,0,0,2,0,0,0
6,오석주,키움,3.38,6,0,0,0,0,-,8,6,0,7,1,7,4,3,1.63,0,0,0,0,39,163,0.200,2,0,0,1,0,0,0
7,알칸타라,키움,3.80,4,1,2,0,0,0.333,23 2/3,31,4,3,0,29,10,10,1.44,0,0,3,0,102,382,0.313,3,1,0,0,0,2,0
8,박정훈,키움,4.05,8,0,0,0,3,-,6 2/3,4,0,7,0,5,3,3,1.65,0,0,0,0,30,109,0.190,1,0,2,0,0,1,0
9,박진형,키움,4.91,7,0,0,0,1,-,7 1/3,9,2,2,0,7,4,4,1.50,0,0,0,0,31,108,0.310,1,1,0,0,0,0,0
9,정다훈,키움,4.91,4,0,0,0,0,-,3 2/3,5,1,2,1,0,2,2,1.91,0,0,0,0,19,76,0.333,1,0,1,0,0,0,0
11,김재웅,키움,5.40,5,0,0,3,1,-,5,4,0,3,0,3,3,3,1.40,0,0,0,1,22,86,0.222,1,0,1,0,0,0,0
12,하영민,키움,6.75,3,0,2,0,0,0.000,12,15,3,11,1,10,12,9,2.17,0,0,0,0,62,248,0.313,3,0,1,1,0,3,0
13,김성진,키움,7.11,7,0,1,0,3,0.000,6 1/3,7,0,3,1,5,5,5,1.58,0,0,0,0,28,116,0.292,2,0,0,0,0,0,0
14,박윤성,키움,7.71,4,0,1,0,1,0.000,2 1/3,2,0,2,0,1,2,2,1.71,0,0,0,1,10,31,0.250,0,0,0,0,0,0,0
14,유토,키움,7.71,7,0,1,0,3,0.000,4 2/3,9,0,0,0,3,4,4,1.93,0,0,0,1,23,105,0.391,2,0,0,0,0,0,0
16,정현우,키움,10.80,1,0,1,0,0,0.000,5,5,1,3,0,3,6,6,1.60,0,0,0,0,22,84,0.263,2,0,0,0,0,0,0
17,전준표,키움,11.57,4,0,0,0,0,-,2 1/3,5,0,5,1,2,3,3,4.29,0,0,0,0,18,85,0.417,1,0,0,0,0,2,0
18,정세영,키움,12.60,3,0,2,0,0,0.000,10,19,2,5,1,3,16,14,2.40,0,0,0,0,56,206,0.413,4,0,3,1,0,2,0
19,윤석원,키움,19.29,2,0,0,0,0,-,2 1/3,6,1,0,0,1,5,5,2.57,0,0,0,0,13,41,0.500,1,0,0,1,0,1,0
